angle_deg,distance_cm,temp_c
360.0,21,26.7
360.0,21,26.7
360.0,21,26.7
360.0,21,26.7
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.7
360.0,21,26.7
360.0,21,26.7
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.7
360.0,21,26.7
360.0,21,26.7
360.0,21,26.9
360.0,21,26.9
360.0,21,26.9
360.0,21,26.9
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
360.0,21,26.8
0.0,21,26.8
0.0,21,26.8
0.0,21,26.8
0.0,21,26.8
0.0,21,26.8
0.0,21,26.8
0.0,21,26.8
0.0,21,26.8
0.0,21,26.8
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
0.0,21,26.9
360.0,21,26.9
360.0,21,26.9
360.0,21,26.9
360.0,21,26.9
0.2,21,26.9
0.6,21,26.9
0.5,21,26.9
0.4,21,26.9
0.2,21,26.9
0.6,20,26.9
1.2,21,26.9
1.0,21,26.9
0.5,20,26.9
0.2,18,26.9
2.5,19,26.9
7.4,19,26.9
15.6,20,27.0
20.8,18,27.0
21.1,20,27.0
19.4,21,26.9
18.5,19,26.9
18.2,18,26.9
18.2,20,27.0
18.6,19,27.0
19.4,19,27.0
17.9,22,26.9
18.3,22,26.9
18.6,21,26.9
18.5,23,26.9
18.3,22,26.9
18.4,22,26.9
18.4,22,26.9
18.3,21,26.9
18.3,21,26.9
16.7,21,26.9
11.9,21,26.8
12.0,19,26.8
15.1,21,26.8
16.1,19,26.9
16.4,22,26.9
16.4,21,26.9
16.5,20,26.9
16.3,21,26.9
16.5,20,26.9
19.3,19,26.8
26.7,17,26.8
34.1,33,26.8
38.9,25,26.6
39.3,22,26.4
38.0,23,26.4
38.4,23,26.3
38.2,22,26.1
38.3,23,26.1
38.2,23,26.1
38.5,23,26.0
38.8,23,26.0
38.4,24,26.0
38.5,23,26.0
38.9,23,26.0
38.7,23,26.0
38.6,23,26.0
38.7,23,26.0
38.6,23,26.0
38.6,23,26.0
38.7,23,26.0
38.6,23,26.0
38.6,23,26.0
38.6,23,26.0
38.5,23,26.0
37.7,23,26.0
37.0,25,26.0
39.4,24,26.0
41.1,22,26.1
40.7,21,26.1
39.6,21,26.1
40.0,20,26.0
40.3,20,26.0
40.0,20,26.0
40.3,20,26.0
43.2,21,26.0
50.1,22,26.0
59.2,24,25.8
64.2,29,25.5
64.9,30,25.5
64.5,30,25.5
64.5,28,25.4
64.3,29,25.4
64.6,29,25.4
64.6,29,25.5
64.2,28,25.5
63.2,28,25.5
62.7,27,25.4
63.2,27,25.4
63.3,27,25.4
63.5,27,25.4
63.4,27,25.4
63.4,27,25.4
63.5,27,25.4
63.5,27,25.4
61.9,27,25.4
59.7,25,25.5
60.5,25,25.5
63.0,26,25.5
64.1,27,25.5
63.5,27,25.4
63.3,26,25.4
63.7,26,25.4
63.5,26,25.2
63.5,26,25.2
65.3,26,25.2
70.0,29,25.4
77.4,37,25.4
83.5,94,25.4
84.0,42,25.5
82.6,42,25.5
82.9,42,25.5
82.9,42,25.5
83.1,42,25.5
82.9,42,25.5
83.0,42,25.4
83.1,43,25.4
82.7,43,25.4
82.9,43,25.4
83.0,43,25.4
83.0,43,25.4
82.9,43,25.4
83.0,43,25.5
82.9,43,25.5
83.0,43,25.6
82.9,43,25.6
83.0,43,25.6
83.0,43,25.6
83.0,43,25.5
82.9,43,25.5
81.9,43,25.5
80.6,44,25.5
82.5,43,25.5
84.9,44,25.5
84.3,43,25.5
84.0,42,25.5
84.2,41,25.5
84.1,42,25.6
84.1,41,25.6
84.2,42,25.6
86.1,42,25.5
92.7,44,25.5
101.1,44,25.5
105.6,45,25.8
105.1,45,25.8
104.6,45,25.8
104.9,45,25.9
104.8,45,26.0
105.0,45,26.0
104.8,44,26.0
104.8,44,26.1
104.1,44,26.1
103.0,44,26.1
103.2,44,26.0
103.4,44,26.0
103.3,44,26.0
103.2,44,26.1
103.3,44,26.1
103.3,44,26.1
103.3,44,26.1
100.7,44,26.1
99.1,44,26.1
101.6,44,25.9
103.7,42,25.9
104.4,43,25.9
104.1,42,26.1
104.1,42,26.1
104.1,43,26.1
104.1,42,26.1
104.2,43,26.1
107.2,42,26.1
114.2,46,26.1
121.6,68,26.3
125.3,39,26.3
124.0,40,26.6
124.3,40,26.9
124.3,40,26.9
124.3,41,26.9
124.3,41,27.0
124.3,41,27.0
124.5,40,27.0
124.4,39,27.0
124.1,40,27.0
123.9,39,27.0
124.2,39,27.1
124.1,38,27.1
124.1,38,27.1
124.1,39,27.1
124.1,38,27.1
124.1,39,27.1
124.1,38,27.0
124.1,38,27.0
124.1,38,27.0
124.2,38,27.1
124.1,38,27.1
122.4,39,27.1
120.2,40,27.1
121.6,41,27.1
124.1,40,27.1
124.2,39,27.1
123.6,41,27.1
123.6,40,27.1
123.7,40,27.1
123.7,40,27.1
123.7,40,27.1
126.9,40,27.1
134.2,36,27.2
142.2,33,27.2
145.4,30,27.2
144.2,28,28.0
144.5,29,28.0
144.5,27,28.0
144.5,28,28.0
144.5,28,28.0
144.5,28,28.0
144.4,28,28.0
143.7,29,28.0
142.8,29,28.0
143.2,29,28.0
143.4,28,28.0
143.4,28,28.0
143.4,29,28.0
143.3,29,28.0
143.4,28,28.0
143.4,28,28.0
141.1,29,28.0
138.2,31,28.0
139.0,30,28.0
141.2,30,27.8
142.5,29,27.8
141.9,29,27.8
142.1,29,27.9
142.1,29,27.9
142.1,28,27.9
142.1,28,27.9
144.9,28,27.9
151.5,30,27.9
159.3,32,28.2
163.6,29,28.2
163.1,28,28.2
163.0,29,28.6
163.2,28,28.6
163.2,27,28.6
163.1,28,28.6
163.1,27,28.6
163.5,28,28.6
163.7,27,28.7
163.4,28,28.7
163.5,29,28.7
163.7,30,28.7
163.6,29,28.8
163.6,29,28.8
163.6,28,28.8
163.6,28,28.7
163.6,28,28.7
163.6,28,28.7
163.6,29,28.8
163.6,29,28.8
163.6,28,28.8
163.6,29,28.8
162.8,29,28.8
160.5,29,28.8
161.4,29,28.7
164.1,30,28.7
164.8,28,28.7
163.9,29,28.7
163.4,28,28.7
163.5,28,28.7
163.5,28,28.8
163.5,28,28.8
166.6,27,28.8
174.6,29,28.9
182.9,24,28.9
185.5,25,28.9
184.2,22,28.8
184.2,22,28.8
184.3,21,28.8
184.3,21,28.8
184.2,21,28.8
184.3,21,28.8
184.2,21,28.8
183.6,22,28.8
182.7,22,28.8
183.0,23,28.8
183.1,22,29.0
183.0,23,29.0
183.1,23,29.0
183.1,22,29.0
183.1,23,29.0
183.1,22,29.0
179.8,23,28.8
177.6,23,28.8
179.2,20,28.8
181.7,20,28.9
181.8,20,28.9
181.6,19,28.9
181.9,19,28.9
181.6,19,28.9
181.8,19,28.9
181.7,19,28.8
184.2,19,28.8
191.0,24,28.8
198.2,24,28.7
202.9,26,28.6
203.2,26,28.6
202.7,26,28.6
203.0,26,27.7
203.0,26,27.7
202.9,26,27.7
202.9,27,27.8
202.2,26,27.8
202.1,26,27.8
201.3,24,27.7
201.7,24,27.7
201.7,24,27.7
201.7,23,27.8
201.6,24,27.8
201.7,24,27.8
201.6,24,27.8
201.7,24,27.8
201.7,24,27.8
201.7,24,27.9
201.7,24,27.9
201.6,25,27.9
201.7,24,27.9
200.6,24,27.9
199.1,24,27.9
199.9,24,27.9
202.1,24,27.9
201.5,22,27.9
201.4,21,27.8
201.5,22,27.8
201.5,22,27.8
201.4,22,27.8
201.4,22,27.7
203.9,23,27.7
211.1,25,27.7
219.7,28,27.6
223.0,35,27.6
222.0,33,27.6
221.9,35,26.3
222.1,34,26.3
222.1,35,26.3
222.0,34,26.2
222.0,35,26.2
222.1,35,26.2
221.5,35,26.2
220.9,36,26.2
221.0,35,26.2
221.2,35,26.3
221.2,36,26.3
221.1,36,26.3
221.2,35,26.3
221.2,35,26.3
221.2,35,26.3
218.6,36,26.3
215.6,32,26.3
216.3,30,26.3
217.4,30,26.4
218.0,30,26.5
217.8,30,26.5
218.0,30,26.5
218.2,30,26.4
218.1,30,26.4
218.1,30,26.4
220.6,31,26.4
